id,amr,antibiotic,pTested,nTested,pSusceptible,nSusceptible
Phoenix Indian Medical Center::Pantoea agglomerans::Blood::2019::1::Ceftazidime,Phoenix Indian Medical Center::Pantoea agglomerans::Blood::2019::1,Ceftazidime,100%,1,100%,1
Phoenix Indian Medical Center::Pantoea agglomerans::Blood::2019::1::Ceftriaxone,Phoenix Indian Medical Center::Pantoea agglomerans::Blood::2019::1,Ceftriaxone,100%,1,100%,1
Phoenix Indian Medical Center::Pantoea agglomerans::Blood::2019::1::Cefuroxime,Phoenix Indian Medical Center::Pantoea agglomerans::Blood::2019::1,Cefuroxime,100%,1,100%,1
Phoenix Indian Medical Center::Pantoea agglomerans::Blood::2019::1::Ciprofloxacin,Phoenix Indian Medical Center::Pantoea agglomerans::Blood::2019::1,Ciprofloxacin,100%,1,100%,1
Phoenix Indian Medical Center::Pantoea agglomerans::Blood::2019::1::Gentamicin,Phoenix Indian Medical Center::Pantoea agglomerans::Blood::2019::1,Gentamicin,100%,1,100%,1
Phoenix Indian Medical Center::Pantoea agglomerans::Blood::2019::1::Imipenem (Cilastatin),Phoenix Indian Medical Center::Pantoea agglomerans::Blood::2019::1,Imipenem (Cilastatin),100%,1,100%,1
Phoenix Indian Medical Center::Pantoea agglomerans::Blood::2019::1::Levofloxacin,Phoenix Indian Medical Center::Pantoea agglomerans::Blood::2019::1,Levofloxacin,100%,1,100%,1
Phoenix Indian Medical Center::Pantoea agglomerans::Blood::2019::1::Piperacillin,Phoenix Indian Medical Center::Pantoea agglomerans::Blood::2019::1,Piperacillin,100%,1,100%,1
Phoenix Indian Medical Center::Pantoea agglomerans::Blood::2019::1::Tetracycline,Phoenix Indian Medical Center::Pantoea agglomerans::Blood::2019::1,Tetracycline,100%,1,100%,1
Phoenix Indian Medical Center::Pantoea agglomerans::Blood::2019::1::Tobramycin,Phoenix Indian Medical Center::Pantoea agglomerans::Blood::2019::1,Tobramycin,100%,1,100%,1
Phoenix Indian Medical Center::Pantoea agglomerans::Blood::2019::1::Trimethoprim-Sulfamethoxazole (Tmp-Smx),Phoenix Indian Medical Center::Pantoea agglomerans::Blood::2019::1,Trimethoprim-Sulfamethoxazole (Tmp-Smx),100%,1,100%,1
Phoenix Indian Medical Center::Pantoea agglomerans::Skin::2019::1::Amoxicillin,Phoenix Indian Medical Center::Pantoea agglomerans::Skin::2019::1,Amoxicillin,100%,2,100%,2
Phoenix Indian Medical Center::Pantoea agglomerans::Skin::2019::1::Ampicillin,Phoenix Indian Medical Center::Pantoea agglomerans::Skin::2019::1,Ampicillin,100%,2,50%,1
Phoenix Indian Medical Center::Pantoea agglomerans::Skin::2019::1::Cefazolin,Phoenix Indian Medical Center::Pantoea agglomerans::Skin::2019::1,Cefazolin,100%,2,100%,2
Phoenix Indian Medical Center::Pantoea agglomerans::Skin::2019::1::Cefepime,Phoenix Indian Medical Center::Pantoea agglomerans::Skin::2019::1,Cefepime,100%,2,100%,2
Phoenix Indian Medical Center::Pantoea agglomerans::Skin::2019::1::Cefotaxime,Phoenix Indian Medical Center::Pantoea agglomerans::Skin::2019::1,Cefotaxime,100%,2,100%,2
Phoenix Indian Medical Center::Pantoea agglomerans::Skin::2019::1::Cefotetan,Phoenix Indian Medical Center::Pantoea agglomerans::Skin::2019::1,Cefotetan,100%,2,100%,2
Phoenix Indian Medical Center::Pantoea agglomerans::Skin::2019::1::Ceftazidime,Phoenix Indian Medical Center::Pantoea agglomerans::Skin::2019::1,Ceftazidime,100%,2,100%,2
Phoenix Indian Medical Center::Pantoea agglomerans::Skin::2019::1::Ceftriaxone,Phoenix Indian Medical Center::Pantoea agglomerans::Skin::2019::1,Ceftriaxone,100%,2,100%,2
Phoenix Indian Medical Center::Pantoea agglomerans::Skin::2019::1::Cefuroxime,Phoenix Indian Medical Center::Pantoea agglomerans::Skin::2019::1,Cefuroxime,100%,2,100%,2
Phoenix Indian Medical Center::Pantoea agglomerans::Skin::2019::1::Ciprofloxacin,Phoenix Indian Medical Center::Pantoea agglomerans::Skin::2019::1,Ciprofloxacin,100%,2,100%,2
Phoenix Indian Medical Center::Pantoea agglomerans::Skin::2019::1::Gentamicin,Phoenix Indian Medical Center::Pantoea agglomerans::Skin::2019::1,Gentamicin,100%,2,100%,2
Phoenix Indian Medical Center::Pantoea agglomerans::Skin::2019::1::Imipenem (Cilastatin),Phoenix Indian Medical Center::Pantoea agglomerans::Skin::2019::1,Imipenem (Cilastatin),100%,2,100%,2
Phoenix Indian Medical Center::Pantoea agglomerans::Skin::2019::1::Levofloxacin,Phoenix Indian Medical Center::Pantoea agglomerans::Skin::2019::1,Levofloxacin,100%,2,100%,2
Phoenix Indian Medical Center::Pantoea agglomerans::Skin::2019::1::Piperacillin,Phoenix Indian Medical Center::Pantoea agglomerans::Skin::2019::1,Piperacillin,100%,2,100%,2
Phoenix Indian Medical Center::Pantoea agglomerans::Skin::2019::1::Tetracycline,Phoenix Indian Medical Center::Pantoea agglomerans::Skin::2019::1,Tetracycline,100%,2,100%,2
Phoenix Indian Medical Center::Pantoea agglomerans::Skin::2019::1::Tobramycin,Phoenix Indian Medical Center::Pantoea agglomerans::Skin::2019::1,Tobramycin,100%,2,100%,2
Phoenix Indian Medical Center::Pantoea agglomerans::Skin::2019::1::Trimethoprim-Sulfamethoxazole (Tmp-Smx),Phoenix Indian Medical Center::Pantoea agglomerans::Skin::2019::1,Trimethoprim-Sulfamethoxazole (Tmp-Smx),100%,2,100%,2
Phoenix Indian Medical Center::Pantoea agglomerans::Sputum::2019::1::Amoxicillin,Phoenix Indian Medical Center::Pantoea agglomerans::Sputum::2019::1,Amoxicillin,100%,1,100%,1
Phoenix Indian Medical Center::Pantoea agglomerans::Sputum::2019::1::Ampicillin,Phoenix Indian Medical Center::Pantoea agglomerans::Sputum::2019::1,Ampicillin,100%,1,0%,0
Phoenix Indian Medical Center::Pantoea agglomerans::Sputum::2019::1::Cefazolin,Phoenix Indian Medical Center::Pantoea agglomerans::Sputum::2019::1,Cefazolin,100%,1,0%,0
Phoenix Indian Medical Center::Pantoea agglomerans::Sputum::2019::1::Cefepime,Phoenix Indian Medical Center::Pantoea agglomerans::Sputum::2019::1,Cefepime,100%,1,100%,1
Phoenix Indian Medical Center::Pantoea agglomerans::Sputum::2019::1::Cefotaxime,Phoenix Indian Medical Center::Pantoea agglomerans::Sputum::2019::1,Cefotaxime,100%,1,100%,1
Phoenix Indian Medical Center::Pantoea agglomerans::Sputum::2019::1::Cefotetan,Phoenix Indian Medical Center::Pantoea agglomerans::Sputum::2019::1,Cefotetan,100%,1,100%,1
Phoenix Indian Medical Center::Pantoea agglomerans::Sputum::2019::1::Ceftazidime,Phoenix Indian Medical Center::Pantoea agglomerans::Sputum::2019::1,Ceftazidime,100%,1,100%,1
Phoenix Indian Medical Center::Pantoea agglomerans::Sputum::2019::1::Ceftriaxone,Phoenix Indian Medical Center::Pantoea agglomerans::Sputum::2019::1,Ceftriaxone,100%,1,100%,1
Phoenix Indian Medical Center::Pantoea agglomerans::Sputum::2019::1::Cefuroxime,Phoenix Indian Medical Center::Pantoea agglomerans::Sputum::2019::1,Cefuroxime,100%,1,0%,0
Phoenix Indian Medical Center::Pantoea agglomerans::Sputum::2019::1::Ciprofloxacin,Phoenix Indian Medical Center::Pantoea agglomerans::Sputum::2019::1,Ciprofloxacin,100%,1,100%,1
Phoenix Indian Medical Center::Pantoea agglomerans::Sputum::2019::1::Gentamicin,Phoenix Indian Medical Center::Pantoea agglomerans::Sputum::2019::1,Gentamicin,100%,1,100%,1
Phoenix Indian Medical Center::Pantoea agglomerans::Sputum::2019::1::Imipenem (Cilastatin),Phoenix Indian Medical Center::Pantoea agglomerans::Sputum::2019::1,Imipenem (Cilastatin),100%,1,100%,1
Phoenix Indian Medical Center::Pantoea agglomerans::Sputum::2019::1::Levofloxacin,Phoenix Indian Medical Center::Pantoea agglomerans::Sputum::2019::1,Levofloxacin,100%,1,100%,1
Phoenix Indian Medical Center::Pantoea agglomerans::Sputum::2019::1::Piperacillin,Phoenix Indian Medical Center::Pantoea agglomerans::Sputum::2019::1,Piperacillin,100%,1,100%,1
Phoenix Indian Medical Center::Pantoea agglomerans::Sputum::2019::1::Tetracycline,Phoenix Indian Medical Center::Pantoea agglomerans::Sputum::2019::1,Tetracycline,100%,1,100%,1
Phoenix Indian Medical Center::Pantoea agglomerans::Sputum::2019::1::Tobramycin,Phoenix Indian Medical Center::Pantoea agglomerans::Sputum::2019::1,Tobramycin,100%,1,100%,1
Phoenix Indian Medical Center::Pantoea agglomerans::Sputum::2019::1::Trimethoprim-Sulfamethoxazole (Tmp-Smx),Phoenix Indian Medical Center::Pantoea agglomerans::Sputum::2019::1,Trimethoprim-Sulfamethoxazole (Tmp-Smx),100%,1,100%,1
Phoenix Indian Medical Center::Pantoea agglomerans::Wound::2019::1::Amoxicillin,Phoenix Indian Medical Center::Pantoea agglomerans::Wound::2019::1,Amoxicillin,100%,2,100%,2
Phoenix Indian Medical Center::Pantoea agglomerans::Wound::2019::1::Ampicillin,Phoenix Indian Medical Center::Pantoea agglomerans::Wound::2019::1,Ampicillin,100%,2,50%,1
Phoenix Indian Medical Center::Pantoea agglomerans::Wound::2019::1::Cefazolin,Phoenix Indian Medical Center::Pantoea agglomerans::Wound::2019::1,Cefazolin,100%,2,0%,0
Phoenix Indian Medical Center::Pantoea agglomerans::Wound::2019::1::Cefepime,Phoenix Indian Medical Center::Pantoea agglomerans::Wound::2019::1,Cefepime,100%,2,100%,2
Phoenix Indian Medical Center::Pantoea agglomerans::Wound::2019::1::Cefotaxime,Phoenix Indian Medical Center::Pantoea agglomerans::Wound::2019::1,Cefotaxime,100%,2,100%,2
Phoenix Indian Medical Center::Pantoea agglomerans::Wound::2019::1::Cefotetan,Phoenix Indian Medical Center::Pantoea agglomerans::Wound::2019::1,Cefotetan,100%,2,100%,2
Phoenix Indian Medical Center::Pantoea agglomerans::Wound::2019::1::Ceftazidime,Phoenix Indian Medical Center::Pantoea agglomerans::Wound::2019::1,Ceftazidime,100%,2,100%,2
Phoenix Indian Medical Center::Pantoea agglomerans::Wound::2019::1::Ceftriaxone,Phoenix Indian Medical Center::Pantoea agglomerans::Wound::2019::1,Ceftriaxone,100%,2,50%,1
Phoenix Indian Medical Center::Pantoea agglomerans::Wound::2019::1::Cefuroxime,Phoenix Indian Medical Center::Pantoea agglomerans::Wound::2019::1,Cefuroxime,100%,2,50%,1
Phoenix Indian Medical Center::Pantoea agglomerans::Wound::2019::1::Ciprofloxacin,Phoenix Indian Medical Center::Pantoea agglomerans::Wound::2019::1,Ciprofloxacin,100%,2,100%,2
Phoenix Indian Medical Center::Pantoea agglomerans::Wound::2019::1::Gentamicin,Phoenix Indian Medical Center::Pantoea agglomerans::Wound::2019::1,Gentamicin,100%,2,100%,2
Phoenix Indian Medical Center::Pantoea agglomerans::Wound::2019::1::Imipenem (Cilastatin),Phoenix Indian Medical Center::Pantoea agglomerans::Wound::2019::1,Imipenem (Cilastatin),100%,2,100%,2
Phoenix Indian Medical Center::Pantoea agglomerans::Wound::2019::1::Levofloxacin,Phoenix Indian Medical Center::Pantoea agglomerans::Wound::2019::1,Levofloxacin,100%,2,100%,2
Phoenix Indian Medical Center::Pantoea agglomerans::Wound::2019::1::Piperacillin,Phoenix Indian Medical Center::Pantoea agglomerans::Wound::2019::1,Piperacillin,100%,2,100%,2
Phoenix Indian Medical Center::Pantoea agglomerans::Wound::2019::1::Tetracycline,Phoenix Indian Medical Center::Pantoea agglomerans::Wound::2019::1,Tetracycline,100%,2,100%,2
Phoenix Indian Medical Center::Pantoea agglomerans::Wound::2019::1::Tobramycin,Phoenix Indian Medical Center::Pantoea agglomerans::Wound::2019::1,Tobramycin,100%,2,100%,2
Phoenix Indian Medical Center::Pantoea agglomerans::Wound::2019::1::Trimethoprim-Sulfamethoxazole (Tmp-Smx),Phoenix Indian Medical Center::Pantoea agglomerans::Wound::2019::1,Trimethoprim-Sulfamethoxazole (Tmp-Smx),100%,2,100%,2
Phoenix Indian Medical Center::Proteus mirabilis (ESBL)::Wound::2019::1::Amoxicillin,Phoenix Indian Medical Center::Proteus mirabilis (ESBL)::Wound::2019::1,Amoxicillin,100%,1,100%,1
Phoenix Indian Medical Center::Proteus mirabilis (ESBL)::Wound::2019::1::Ampicillin,Phoenix Indian Medical Center::Proteus mirabilis (ESBL)::Wound::2019::1,Ampicillin,100%,1,0%,0
Phoenix Indian Medical Center::Proteus mirabilis (ESBL)::Wound::2019::1::Cefazolin,Phoenix Indian Medical Center::Proteus mirabilis (ESBL)::Wound::2019::1,Cefazolin,100%,1,0%,0
Phoenix Indian Medical Center::Proteus mirabilis (ESBL)::Wound::2019::1::Cefepime,Phoenix Indian Medical Center::Proteus mirabilis (ESBL)::Wound::2019::1,Cefepime,100%,1,0%,0
Phoenix Indian Medical Center::Proteus mirabilis (ESBL)::Wound::2019::1::Cefotaxime,Phoenix Indian Medical Center::Proteus mirabilis (ESBL)::Wound::2019::1,Cefotaxime,100%,1,0%,0
Phoenix Indian Medical Center::Proteus mirabilis (ESBL)::Wound::2019::1::Cefotetan,Phoenix Indian Medical Center::Proteus mirabilis (ESBL)::Wound::2019::1,Cefotetan,100%,1,100%,1
Phoenix Indian Medical Center::Proteus mirabilis (ESBL)::Wound::2019::1::Ceftazidime,Phoenix Indian Medical Center::Proteus mirabilis (ESBL)::Wound::2019::1,Ceftazidime,100%,1,0%,0
Phoenix Indian Medical Center::Proteus mirabilis (ESBL)::Wound::2019::1::Ceftriaxone,Phoenix Indian Medical Center::Proteus mirabilis (ESBL)::Wound::2019::1,Ceftriaxone,100%,1,0%,0
Phoenix Indian Medical Center::Proteus mirabilis (ESBL)::Wound::2019::1::Cefuroxime,Phoenix Indian Medical Center::Proteus mirabilis (ESBL)::Wound::2019::1,Cefuroxime,100%,1,0%,0
Phoenix Indian Medical Center::Proteus mirabilis (ESBL)::Wound::2019::1::Ciprofloxacin,Phoenix Indian Medical Center::Proteus mirabilis (ESBL)::Wound::2019::1,Ciprofloxacin,100%,1,0%,0
Phoenix Indian Medical Center::Proteus mirabilis (ESBL)::Wound::2019::1::Gentamicin,Phoenix Indian Medical Center::Proteus mirabilis (ESBL)::Wound::2019::1,Gentamicin,100%,1,100%,1
Phoenix Indian Medical Center::Proteus mirabilis (ESBL)::Wound::2019::1::Imipenem (Cilastatin),Phoenix Indian Medical Center::Proteus mirabilis (ESBL)::Wound::2019::1,Imipenem (Cilastatin),100%,1,100%,1
Phoenix Indian Medical Center::Proteus mirabilis (ESBL)::Wound::2019::1::Levofloxacin,Phoenix Indian Medical Center::Proteus mirabilis (ESBL)::Wound::2019::1,Levofloxacin,100%,1,0%,0
Phoenix Indian Medical Center::Proteus mirabilis (ESBL)::Wound::2019::1::Piperacillin,Phoenix Indian Medical Center::Proteus mirabilis (ESBL)::Wound::2019::1,Piperacillin,100%,1,100%,1
Phoenix Indian Medical Center::Proteus mirabilis (ESBL)::Wound::2019::1::Tetracycline,Phoenix Indian Medical Center::Proteus mirabilis (ESBL)::Wound::2019::1,Tetracycline,100%,1,0%,0
Phoenix Indian Medical Center::Proteus mirabilis (ESBL)::Wound::2019::1::Tobramycin,Phoenix Indian Medical Center::Proteus mirabilis (ESBL)::Wound::2019::1,Tobramycin,100%,1,100%,1
Phoenix Indian Medical Center::Proteus mirabilis (ESBL)::Wound::2019::1::Trimethoprim-Sulfamethoxazole (Tmp-Smx),Phoenix Indian Medical Center::Proteus mirabilis (ESBL)::Wound::2019::1,Trimethoprim-Sulfamethoxazole (Tmp-Smx),100%,1,0%,0
Phoenix Indian Medical Center::Proteus mirabilis::Skin::2019::1::Amoxicillin,Phoenix Indian Medical Center::Proteus mirabilis::Skin::2019::1,Amoxicillin,100%,3,100%,3
Phoenix Indian Medical Center::Proteus mirabilis::Skin::2019::1::Ampicillin,Phoenix Indian Medical Center::Proteus mirabilis::Skin::2019::1,Ampicillin,100%,3,67%,2
Phoenix Indian Medical Center::Proteus mirabilis::Skin::2019::1::Cefazolin,Phoenix Indian Medical Center::Proteus mirabilis::Skin::2019::1,Cefazolin,100%,3,67%,2
Phoenix Indian Medical Center::Proteus mirabilis::Skin::2019::1::Cefepime,Phoenix Indian Medical Center::Proteus mirabilis::Skin::2019::1,Cefepime,100%,3,100%,3
Phoenix Indian Medical Center::Proteus mirabilis::Skin::2019::1::Cefotaxime,Phoenix Indian Medical Center::Proteus mirabilis::Skin::2019::1,Cefotaxime,100%,3,100%,3
Phoenix Indian Medical Center::Proteus mirabilis::Skin::2019::1::Cefotetan,Phoenix Indian Medical Center::Proteus mirabilis::Skin::2019::1,Cefotetan,100%,3,100%,3
Phoenix Indian Medical Center::Proteus mirabilis::Skin::2019::1::Ceftazidime,Phoenix Indian Medical Center::Proteus mirabilis::Skin::2019::1,Ceftazidime,100%,3,100%,3
Phoenix Indian Medical Center::Proteus mirabilis::Skin::2019::1::Ceftriaxone,Phoenix Indian Medical Center::Proteus mirabilis::Skin::2019::1,Ceftriaxone,100%,3,100%,3
Phoenix Indian Medical Center::Proteus mirabilis::Skin::2019::1::Cefuroxime,Phoenix Indian Medical Center::Proteus mirabilis::Skin::2019::1,Cefuroxime,100%,3,100%,3
Phoenix Indian Medical Center::Proteus mirabilis::Skin::2019::1::Ciprofloxacin,Phoenix Indian Medical Center::Proteus mirabilis::Skin::2019::1,Ciprofloxacin,100%,3,100%,3
Phoenix Indian Medical Center::Proteus mirabilis::Skin::2019::1::Gentamicin,Phoenix Indian Medical Center::Proteus mirabilis::Skin::2019::1,Gentamicin,100%,3,100%,3
Phoenix Indian Medical Center::Proteus mirabilis::Skin::2019::1::Imipenem (Cilastatin),Phoenix Indian Medical Center::Proteus mirabilis::Skin::2019::1,Imipenem (Cilastatin),100%,3,100%,3
Phoenix Indian Medical Center::Proteus mirabilis::Skin::2019::1::Levofloxacin,Phoenix Indian Medical Center::Proteus mirabilis::Skin::2019::1,Levofloxacin,100%,3,100%,3
Phoenix Indian Medical Center::Proteus mirabilis::Skin::2019::1::Piperacillin,Phoenix Indian Medical Center::Proteus mirabilis::Skin::2019::1,Piperacillin,100%,3,100%,3
Phoenix Indian Medical Center::Proteus mirabilis::Skin::2019::1::Tetracycline,Phoenix Indian Medical Center::Proteus mirabilis::Skin::2019::1,Tetracycline,100%,3,0%,0
Phoenix Indian Medical Center::Proteus mirabilis::Skin::2019::1::Tobramycin,Phoenix Indian Medical Center::Proteus mirabilis::Skin::2019::1,Tobramycin,100%,3,100%,3
Phoenix Indian Medical Center::Proteus mirabilis::Skin::2019::1::Trimethoprim-Sulfamethoxazole (Tmp-Smx),Phoenix Indian Medical Center::Proteus mirabilis::Skin::2019::1,Trimethoprim-Sulfamethoxazole (Tmp-Smx),100%,3,67%,2
Phoenix Indian Medical Center::Proteus mirabilis::Urine::2019::1::Amoxicillin,Phoenix Indian Medical Center::Proteus mirabilis::Urine::2019::1,Amoxicillin,100%,6,100%,6
Phoenix Indian Medical Center::Proteus mirabilis::Urine::2019::1::Ampicillin,Phoenix Indian Medical Center::Proteus mirabilis::Urine::2019::1,Ampicillin,100%,6,100%,6
Phoenix Indian Medical Center::Proteus mirabilis::Urine::2019::1::Cefazolin,Phoenix Indian Medical Center::Proteus mirabilis::Urine::2019::1,Cefazolin,100%,6,100%,6
Phoenix Indian Medical Center::Proteus mirabilis::Urine::2019::1::Cefepime,Phoenix Indian Medical Center::Proteus mirabilis::Urine::2019::1,Cefepime,100%,6,100%,6
Phoenix Indian Medical Center::Proteus mirabilis::Urine::2019::1::Cefotaxime,Phoenix Indian Medical Center::Proteus mirabilis::Urine::2019::1,Cefotaxime,100%,6,100%,6
Phoenix Indian Medical Center::Proteus mirabilis::Urine::2019::1::Cefotetan,Phoenix Indian Medical Center::Proteus mirabilis::Urine::2019::1,Cefotetan,100%,6,100%,6
Phoenix Indian Medical Center::Proteus mirabilis::Urine::2019::1::Ceftazidime,Phoenix Indian Medical Center::Proteus mirabilis::Urine::2019::1,Ceftazidime,100%,6,100%,6
Phoenix Indian Medical Center::Proteus mirabilis::Urine::2019::1::Ceftriaxone,Phoenix Indian Medical Center::Proteus mirabilis::Urine::2019::1,Ceftriaxone,100%,6,100%,6
Phoenix Indian Medical Center::Proteus mirabilis::Urine::2019::1::Cefuroxime,Phoenix Indian Medical Center::Proteus mirabilis::Urine::2019::1,Cefuroxime,100%,6,100%,6
Phoenix Indian Medical Center::Proteus mirabilis::Urine::2019::1::Cephalothin,Phoenix Indian Medical Center::Proteus mirabilis::Urine::2019::1,Cephalothin,100%,6,100%,6
Phoenix Indian Medical Center::Proteus mirabilis::Urine::2019::1::Ciprofloxacin,Phoenix Indian Medical Center::Proteus mirabilis::Urine::2019::1,Ciprofloxacin,100%,6,100%,6
Phoenix Indian Medical Center::Proteus mirabilis::Urine::2019::1::Gentamicin,Phoenix Indian Medical Center::Proteus mirabilis::Urine::2019::1,Gentamicin,100%,6,100%,6
Phoenix Indian Medical Center::Proteus mirabilis::Urine::2019::1::Imipenem (Cilastatin),Phoenix Indian Medical Center::Proteus mirabilis::Urine::2019::1,Imipenem (Cilastatin),100%,6,100%,6
Phoenix Indian Medical Center::Proteus mirabilis::Urine::2019::1::Levofloxacin,Phoenix Indian Medical Center::Proteus mirabilis::Urine::2019::1,Levofloxacin,100%,6,100%,6
Phoenix Indian Medical Center::Proteus mirabilis::Urine::2019::1::Nitrofurantoin,Phoenix Indian Medical Center::Proteus mirabilis::Urine::2019::1,Nitrofurantoin,100%,6,17%,1
Phoenix Indian Medical Center::Proteus mirabilis::Urine::2019::1::Piperacillin,Phoenix Indian Medical Center::Proteus mirabilis::Urine::2019::1,Piperacillin,100%,6,100%,6
Phoenix Indian Medical Center::Proteus mirabilis::Urine::2019::1::Tetracycline,Phoenix Indian Medical Center::Proteus mirabilis::Urine::2019::1,Tetracycline,100%,6,0%,0
Phoenix Indian Medical Center::Proteus mirabilis::Urine::2019::1::Tobramycin,Phoenix Indian Medical Center::Proteus mirabilis::Urine::2019::1,Tobramycin,100%,6,100%,6
Phoenix Indian Medical Center::Proteus mirabilis::Urine::2019::1::Trimethoprim-Sulfamethoxazole (Tmp-Smx),Phoenix Indian Medical Center::Proteus mirabilis::Urine::2019::1,Trimethoprim-Sulfamethoxazole (Tmp-Smx),100%,6,100%,6
Phoenix Indian Medical Center::Proteus mirabilis::Wound::2019::1::Amoxicillin,Phoenix Indian Medical Center::Proteus mirabilis::Wound::2019::1,Amoxicillin,100%,2,100%,2
Phoenix Indian Medical Center::Proteus mirabilis::Wound::2019::1::Ampicillin,Phoenix Indian Medical Center::Proteus mirabilis::Wound::2019::1,Ampicillin,100%,2,50%,1
Phoenix Indian Medical Center::Proteus mirabilis::Wound::2019::1::Cefazolin,Phoenix Indian Medical Center::Proteus mirabilis::Wound::2019::1,Cefazolin,100%,2,50%,1
Phoenix Indian Medical Center::Proteus mirabilis::Wound::2019::1::Cefepime,Phoenix Indian Medical Center::Proteus mirabilis::Wound::2019::1,Cefepime,100%,2,100%,2
Phoenix Indian Medical Center::Proteus mirabilis::Wound::2019::1::Cefotaxime,Phoenix Indian Medical Center::Proteus mirabilis::Wound::2019::1,Cefotaxime,100%,2,100%,2
Phoenix Indian Medical Center::Proteus mirabilis::Wound::2019::1::Cefotetan,Phoenix Indian Medical Center::Proteus mirabilis::Wound::2019::1,Cefotetan,100%,2,100%,2
Phoenix Indian Medical Center::Proteus mirabilis::Wound::2019::1::Ceftazidime,Phoenix Indian Medical Center::Proteus mirabilis::Wound::2019::1,Ceftazidime,100%,2,100%,2
Phoenix Indian Medical Center::Proteus mirabilis::Wound::2019::1::Ceftriaxone,Phoenix Indian Medical Center::Proteus mirabilis::Wound::2019::1,Ceftriaxone,100%,2,100%,2
Phoenix Indian Medical Center::Proteus mirabilis::Wound::2019::1::Cefuroxime,Phoenix Indian Medical Center::Proteus mirabilis::Wound::2019::1,Cefuroxime,100%,2,100%,2
Phoenix Indian Medical Center::Proteus mirabilis::Wound::2019::1::Ciprofloxacin,Phoenix Indian Medical Center::Proteus mirabilis::Wound::2019::1,Ciprofloxacin,100%,2,50%,1
Phoenix Indian Medical Center::Proteus mirabilis::Wound::2019::1::Gentamicin,Phoenix Indian Medical Center::Proteus mirabilis::Wound::2019::1,Gentamicin,100%,2,50%,1
Phoenix Indian Medical Center::Proteus mirabilis::Wound::2019::1::Imipenem (Cilastatin),Phoenix Indian Medical Center::Proteus mirabilis::Wound::2019::1,Imipenem (Cilastatin),100%,2,100%,2
Phoenix Indian Medical Center::Proteus mirabilis::Wound::2019::1::Levofloxacin,Phoenix Indian Medical Center::Proteus mirabilis::Wound::2019::1,Levofloxacin,100%,2,100%,2
Phoenix Indian Medical Center::Proteus mirabilis::Wound::2019::1::Piperacillin,Phoenix Indian Medical Center::Proteus mirabilis::Wound::2019::1,Piperacillin,100%,2,100%,2
Phoenix Indian Medical Center::Proteus mirabilis::Wound::2019::1::Tetracycline,Phoenix Indian Medical Center::Proteus mirabilis::Wound::2019::1,Tetracycline,100%,2,50%,1
Phoenix Indian Medical Center::Proteus mirabilis::Wound::2019::1::Tobramycin,Phoenix Indian Medical Center::Proteus mirabilis::Wound::2019::1,Tobramycin,100%,2,50%,1
Phoenix Indian Medical Center::Proteus mirabilis::Wound::2019::1::Trimethoprim-Sulfamethoxazole (Tmp-Smx),Phoenix Indian Medical Center::Proteus mirabilis::Wound::2019::1,Trimethoprim-Sulfamethoxazole (Tmp-Smx),100%,2,50%,1
Phoenix Indian Medical Center::Proteus vulgaris::Urine::2019::1::Amoxicillin,Phoenix Indian Medical Center::Proteus vulgaris::Urine::2019::1,Amoxicillin,100%,1,100%,1
Phoenix Indian Medical Center::Proteus vulgaris::Urine::2019::1::Ampicillin,Phoenix Indian Medical Center::Proteus vulgaris::Urine::2019::1,Ampicillin,100%,1,0%,0
Phoenix Indian Medical Center::Proteus vulgaris::Urine::2019::1::Cefazolin,Phoenix Indian Medical Center::Proteus vulgaris::Urine::2019::1,Cefazolin,100%,1,0%,0
Phoenix Indian Medical Center::Proteus vulgaris::Urine::2019::1::Cefepime,Phoenix Indian Medical Center::Proteus vulgaris::Urine::2019::1,Cefepime,100%,1,100%,1
Phoenix Indian Medical Center::Proteus vulgaris::Urine::2019::1::Cefotaxime,Phoenix Indian Medical Center::Proteus vulgaris::Urine::2019::1,Cefotaxime,100%,1,100%,1
Phoenix Indian Medical Center::Proteus vulgaris::Urine::2019::1::Cefotetan,Phoenix Indian Medical Center::Proteus vulgaris::Urine::2019::1,Cefotetan,100%,1,100%,1
Phoenix Indian Medical Center::Proteus vulgaris::Urine::2019::1::Ceftazidime,Phoenix Indian Medical Center::Proteus vulgaris::Urine::2019::1,Ceftazidime,100%,1,100%,1
Phoenix Indian Medical Center::Proteus vulgaris::Urine::2019::1::Ceftriaxone,Phoenix Indian Medical Center::Proteus vulgaris::Urine::2019::1,Ceftriaxone,100%,1,100%,1
Phoenix Indian Medical Center::Proteus vulgaris::Urine::2019::1::Cefuroxime,Phoenix Indian Medical Center::Proteus vulgaris::Urine::2019::1,Cefuroxime,100%,1,0%,0
Phoenix Indian Medical Center::Proteus vulgaris::Urine::2019::1::Cephalothin,Phoenix Indian Medical Center::Proteus vulgaris::Urine::2019::1,Cephalothin,100%,1,0%,0
Phoenix Indian Medical Center::Proteus vulgaris::Urine::2019::1::Ciprofloxacin,Phoenix Indian Medical Center::Proteus vulgaris::Urine::2019::1,Ciprofloxacin,100%,1,0%,0
Phoenix Indian Medical Center::Proteus vulgaris::Urine::2019::1::Gentamicin,Phoenix Indian Medical Center::Proteus vulgaris::Urine::2019::1,Gentamicin,100%,1,100%,1
